Architecture family,Models,Datasets with valid results,Wins (regression),Wins (classification),"Median gap to best, regression (%)","Median gap to best, classification (%)",Within 5% of best (% of datasets),Median rank of family-best model
Ensemble (stacking / averaging),2,45,5,10,2.3636566006126625,0.02606731792554291,75.55555555555556,2.0
Conventional ML,15,45,1,10,3.918828629800233,0.07916773064267871,68.88888888888889,2.0
Uni-Mol V1 (3D pretrained),1,45,7,0,3.6964151778943686,2.2765118328641547,62.22222222222222,6.0
CFA combinatorial fusion,1,44,2,2,12.634572166177167,2.541259696063116,43.18181818181818,7.0
MapLight + GNN,1,42,4,0,7.628961119033674,11.142998562337064,26.190476190476193,11.5
TabPFN (tabular foundation),2,22,3,0,9.770584379134597,4.617156131242245,40.909090909090914,4.5
Chemprop v2 GNN,2,23,1,0,12.506775051906269,,17.391304347826086,9.0
Deep tabular NN (ChemML MLP),1,45,0,0,21.603625542886537,7.896108032741051,15.555555555555555,14.0
