dataset,rank,feature,importance,method
cyp2c9_veith,7,rdkit_SlogP_VSA2,0.011889721571699704,native
cyp2c9_veith,8,rdkit_BertzCT,0.009591538615882307,native
cyp2c9_veith,9,rdkit_MaxEStateIndex,0.009285812466885082,native
cyp2c9_veith,10,rdkit_SPS,0.00885167663194359,native
cyp2d6_substrate_carbonmangels,1,rdkit_SMR_VSA6,0.012661307411427021,native
cyp2d6_substrate_carbonmangels,2,rdkit_MinAbsPartialCharge,0.012034132712629163,native
cyp2d6_substrate_carbonmangels,3,rdkit_EState_VSA8,0.011048942224477463,native
cyp2d6_substrate_carbonmangels,4,rdkit_EState_VSA2,0.010945289652311204,native
cyp2d6_substrate_carbonmangels,5,rdkit_TPSA,0.010165931063984612,native
cyp2d6_substrate_carbonmangels,6,rdkit_MinEStateIndex,0.009951090911788057,native
cyp2d6_substrate_carbonmangels,7,rdkit_VSA_EState5,0.00894183034786423,native
cyp2d6_substrate_carbonmangels,8,rdkit_MaxPartialCharge,0.008933830004813072,native
cyp2d6_substrate_carbonmangels,9,rdkit_BCUT2D_LOGPLOW,0.008298828686061022,native
cyp2d6_substrate_carbonmangels,10,rdkit_EState_VSA4,0.008204135099693458,native
cyp2d6_veith,1,rdkit_MinEStateIndex,0.012090471933706342,native
cyp2d6_veith,2,rdkit_MaxPartialCharge,0.011667937365040893,native
cyp2d6_veith,3,rdkit_MinAbsPartialCharge,0.011418477821778784,native
cyp2d6_veith,4,rdkit_EState_VSA8,0.011389443449078612,native
cyp2d6_veith,5,rdkit_MaxEStateIndex,0.011136397334540344,native
cyp2d6_veith,6,rdkit_MaxAbsEStateIndex,0.010373836572370277,native
cyp2d6_veith,7,rdkit_TPSA,0.010278858363609986,native
cyp2d6_veith,8,rdkit_VSA_EState2,0.009361489288308404,native
cyp2d6_veith,9,rdkit_MolLogP,0.008295807489111177,native
cyp2d6_veith,10,rdkit_BalabanJ,0.008293130420776633,native
cyp3a4_substrate_carbonmangels,1,rdkit_MolLogP,0.01465405467662598,native
cyp3a4_substrate_carbonmangels,2,rdkit_BCUT2D_LOGPHI,0.01324710447963292,native
cyp3a4_substrate_carbonmangels,3,rdkit_BertzCT,0.009971316151224067,native
cyp3a4_substrate_carbonmangels,4,rdkit_Chi1v,0.00926753043244983,native
cyp3a4_substrate_carbonmangels,5,rdkit_NumValenceElectrons,0.009245144477840517,native
cyp3a4_substrate_carbonmangels,6,rdkit_BCUT2D_CHGLO,0.008989827034203026,native
cyp3a4_substrate_carbonmangels,7,rdkit_SlogP_VSA3,0.008511774519527828,native
cyp3a4_substrate_carbonmangels,8,rdkit_MolWt,0.008194364969413975,native
cyp3a4_substrate_carbonmangels,9,rdkit_BCUT2D_MWLOW,0.008171258501839689,native
cyp3a4_substrate_carbonmangels,10,rdkit_PEOE_VSA8,0.008091432494199084,native
cyp3a4_veith,1,rdkit_MolLogP,0.018924958759420216,native
cyp3a4_veith,2,rdkit_SlogP_VSA6,0.017672989614491794,native
cyp3a4_veith,3,rdkit_SMR_VSA7,0.01248647502694277,native
cyp3a4_veith,4,rdkit_BertzCT,0.012440134217274025,native
cyp3a4_veith,5,rdkit_Ipc,0.01141046879887491,native
cyp3a4_veith,6,rdkit_VSA_EState6,0.010759707785904925,native
cyp3a4_veith,7,rdkit_Chi1,0.01059866653944168,native
cyp3a4_veith,8,rdkit_MolMR,0.010420964590259893,native
cyp3a4_veith,9,rdkit_Chi0v,0.01037395145789038,native
cyp3a4_veith,10,rdkit_LabuteASA,0.010131961159728805,native
dili,1,rdkit_HallKierAlpha,0.01710607298345592,native
dili,2,rdkit_BCUT2D_MRHI,0.0168570442768837,native
